movie,production_budget,domestic_gross,production_profit_domestic
The Mummy,80000000,155385488,75385488
Stripes,10000000,85300000,75300000
Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377,75213377
Trainwreck,35000000,110212700,75212700
Over the Hedge,80000000,155019340,75019340
Beverly Hills Chihuahua,20000000,94514402,74514402
Shakespeare in Love,26000000,100317794,74317794
The Santa Clause 2,65000000,139225854,74225854
Notting Hill,42000000,116089678,74089678
La marche de l'empereur,3400000,77437223,74037223
Baby Driver,34000000,107825862,73825862
The Nutty Professor,55000000,128814019,73814019
Shrek Forever After,165000000,238736787,73736787
Madea Goes To Jail,17500000,90508336,73008336
National Treasure,100000000,173005002,73005002
Creed,37000000,109767581,72767581
Doctor Dolittle,71500000,144156605,72656605
Phenomenon,32000000,104636382,72636382
The Rugrats Movie,28000000,100494685,72494685
xXx,70000000,141930000,71930000
The Ten Commandments,13500000,85400591,71900591
Schindlerâs List,25000000,96898818,71898818
Into the Woods,56200000,128002372,71802372
Footloose,8200000,80000000,71800000
Spy Kids 3-D: Game Over,40000000,111760631,71760631
The Texas Chainsaw Massacre,9000000,80571655,71571655
Fiddler on the Roof,9000000,80500000,71500000
Madagascar 3: Europe's Most Wanted,145000000,216391482,71391482
The Upside,37500000,108235497,70735497
Million Dollar Baby,30000000,100492203,70492203
Saw III,10000000,80238724,70238724
Alien,10700000,80930630,70230630
Oceanâs 8,70000000,140218711,70218711
Fried Green Tomatoes,11000000,81204830,70204830
Se7en,30000000,100125643,70125643
Fast & Furious,85000000,155064265,70064265
Horton Hears a Who,85000000,154529439,69529439
This is the End,32000000,101470202,69470202
Scooby-Doo,84000000,153294164,69294164
Brokeback Mountain,13900000,83043761,69143761
The Purge: Election Year,10000000,79042440,69042440
A Time to Kill,40000000,108766007,68766007
The Muppet Movie,8000000,76657000,68657000
The Game Plan,22000000,90648202,68648202
Monsters University,200000000,268488329,68488329
The Maze Runner,34000000,102427862,68427862
Aliens,17000000,85160248,68160248
Mean Girls,18000000,86047227,68047227
The Golden Child,12000000,79817937,67817937
Doctor Strange,165000000,232641920,67641920
A League of Their Own,40000000,107533925,67533925
Fantastic Four,87500000,154696080,67196080
10 Cloverfield Lane,5000000,72082999,67082999
Star Trek II: The Wrath of Khan,12000000,78912963,66912963
The Break-Up,52000000,118703275,66703275
Ransom,70000000,136492681,66492681
Ice Age: Continental Drift,95000000,161321843,66321843
Teenage Mutant Ninja Turtles,125000000,191204754,66204754
Man of Steel,225000000,291045518,66045518
Divergent,85000000,150947895,65947895
Lilo & Stitch,80000000,145771527,65771527
Creed II,50000000,115715889,65715889
"Legally Blonde 2: Red, White & Blonde",25000000,90639088,65639088
The Truman Show,60000000,125618201,65618201
What Lies Beneath,90000000,155464351,65464351
Kindergarten Cop,26000000,91457688,65457688
Letâs Be Cops,17000000,82390774,65390774
Casino Royale,102000000,167365000,65365000
Peter Rabbit,50000000,115234093,65234093
Sully,60000000,125070033,65070033
Scary Movie 3,45000000,110000082,65000082
Chicken Run,42000000,106793915,64793915
War Room,3000000,67790117,64790117
Aladdin,182000000,246734314,64734314
Tammy,20000000,84525432,64525432
Mission: ImpossibleâGhost Protocol,145000000,209397903,64397903
42,31000000,95020213,64020213
Poltergeist,10700000,74706019,64006019
Gnomeo and Juliet,36000000,99967670,63967670
The Naked Gun 2Â½: The Smell of Fear,23000000,86930411,63930411
Barbershop,12000000,75781642,63781642
Hotel Transylvania,85000000,148313048,63313048
Django Unchained,100000000,162805434,62805434
Flight,31000000,93772375,62772375
Are We There Yet?,20000000,82674398,62674398
The Descendants,20000000,82624961,62624961
The Perfect Storm,120000000,182618434,62618434
The Purge: Anarchy,9000000,71562550,62562550
The Conjuring 2: The Enfield Poltergeist,40000000,102470008,62470008
WarGames,12000000,74433837,62433837
Lights Out,5000000,67268835,62268835
Green Book,23000000,85080171,62080171
Sherlock Holmes: A Game of Shadows,125000000,186848418,61848418
Miss Congeniality,45000000,106807667,61807667
Jackass: Number Two,11000000,72778712,61778712
The Day After Tomorrow,125000000,186740799,61740799
Armageddon,140000000,201578182,61578182
The Purge,3000000,64473115,61473115
The Bourne Identity,60000000,121468960,61468960
Maleficent,180000000,241407328,61407328
Pineapple Express,26000000,87341380,61341380
School of Rock,20000000,81261177,61261177
Disturbia,20000000,80818974,60818974
Deep Impact,80000000,140464664,60464664
Ace Ventura: Pet Detective,12000000,72217396,60217396
The Visit,5000000,65206105,60206105
Mystic River,30000000,90135191,60135191
Justin Bieber: Never Say Never,13000000,73013910,60013910
Clear and Present Danger,62000000,122012656,60012656
Pitch Perfect 3,45000000,104897530,59897530
Godâs Not Dead,1150000,60755732,59605732
Wanted,75000000,134508551,59508551
Fifty Shades Darker,55000000,114434010,59434010
Jackass: The Movie,5000000,64282312,59282312
Scooby-Doo 2: Monsters Unleashed,25000000,84185387,59185387
Anchorman: The Legend of Ron Burgundy,25000000,84136909,59136909
The Rock,75000000,134069511,59069511
Beetlejuice,15000000,73839613,58839613
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65281781,58781781
Book Club,10000000,68566296,58566296
The Crying Game,4000000,62546695,58546695
Valentine's Day,52000000,110485654,58485654
Star Trek III: The Search for Spock,18000000,76471046,58471046
Bring it On,10000000,68353550,58353550
Act of Valor,12000000,70012847,58012847
Ben-Hur,15000000,73000000,58000000
Insidious: The Last Key,10000000,67745330,57745330
Free Willy,20000000,77698625,57698625
Freddy vs. Jason,25000000,82622655,57622655
Blades of Glory,61000000,118594548,57594548
Big Hero 6,165000000,222527828,57527828
Bridge to Terabithia,25000000,82234139,57234139
The Exorcism of Emily Rose,18000000,75072454,57072454
Sisters,30000000,87044645,57044645
The Pacifier,56000000,113006880,57006880
The Social Network,40000000,96962694,56962694
Dick Tracy,47000000,103738726,56738726
Journey to the Center of the Earth,45000000,101704370,56704370
Mama,15000000,71628180,56628180
The First Purge,13000000,69488745,56488745
Charlie and the Chocolate Factory,150000000,206459076,56459076
Ratatouille,150000000,206445654,56445654
Thor: The Dark World,150000000,206362140,56362140
Groundhog Day,14600000,70906973,56306973
Chariots of Fire,5500000,61558162,56058162
Born on the Fourth of July,14000000,70001698,56001698
Jimmy Neutron: Boy Genius,25000000,80936232,55936232
How to Lose a Guy in 10 Days,50000000,105807520,55807520
The Pelican Brief,45000000,100768056,55768056
Pokemon: The First Movie,30000000,85744662,55744662
SpongeBob SquarePants: The Movie,30000000,85416609,55416609
Batman Begins,150000000,205343774,55343774
Interview with the Vampire: The Vampire Chronicles,50000000,105264608,55264608
I Know What You Did Last Summer,17000000,72250091,55250091
The Town,37000000,92186262,55186262
Cloverfield,25000000,80048433,55048433
Dear John,25000000,80014842,55014842
My Fair Lady,17000000,72000000,55000000
Cool Runnings,14000000,68856263,54856263
Click,82500000,137355633,54855633
Private Benjamin,15000000,69847348,54847348
Saw,1200000,55968727,54768727
Shazam!,85000000,139606856,54606856
Thunderball,9000000,63600000,54600000
Splash,8000000,62599495,54599495
Sideways,17000000,71502303,54502303
Total Recall,65000000,119394839,54394839
Superman II,54000000,108185706,54185706
Julie & Julia,40000000,94125426,54125426
Fantastic Beasts and Where to Find Them,180000000,234037575,54037575
He's Just Not That Into You,40000000,93953653,53953653
Up in the Air,30000000,83823381,53823381
The Mule,50000000,103804407,53804407
Grown Ups 2,80000000,133668525,53668525
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78656813,53656813
Rio,90000000,143619809,53619809
The Rookie,22000000,75600072,53600072
Arrival,47000000,100546139,53546139
Witness,12000000,65532576,53532576
The Best Man Holiday,17000000,70525195,53525195
She's All That,10000000,63465522,53465522
Die Hard,28000000,81350242,53350242
Step Up,12000000,65328121,53328121
Saw IV,10000000,63300095,53300095
Madea's Family Reunion,10000000,63257940,53257940
Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,53206343
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,53107389
The Hobbit: An Unexpected Journey,250000000,303003568,53003568
How to Train Your Dragon,165000000,217581232,52581232
Chronicle,12000000,64575175,52575175
Road Trip,16000000,68525609,52525609
Insidious,1500000,54009150,52509150
Brave,185000000,237282182,52282182
Parental Guidance,25000000,77267296,52267296
The Devil Inside,1000000,53262945,52262945
Limitless,27000000,79249455,52249455
Coal Miner's Daughter,15000000,67182787,52182787
The Croods,135000000,187168425,52168425
Captain Phillips,55000000,107136417,52136417
Harry Potter and the Half-Blood Prince,250000000,302089278,52089278
John Wick: Chapter Two,40000000,92029184,52029184
Zombieland,23600000,75590286,51990286
Little Miss Sunshine,8000000,59891098,51891098
Mr. Hollandâs Opus,31000000,82582604,51582604
Magic Mike XXL,14500000,66013057,51513057
Philadelphia,26000000,77324422,51324422
The Untouchables,25000000,76270454,51270454
Old School,24000000,75155000,51155000
2 Fast 2 Furious,76000000,127120058,51120058
Beavis and Butt-Head Do America,12000000,63118386,51118386
The Notebook,30000000,81001787,51001787
The Ugly Truth,38000000,88915214,50915214
Ride Along 2,40000000,90862685,50862685
You've Got Mail,65000000,115821495,50821495
Inglourious Basterds,70000000,120774594,50774594
Scary Movie 4,40000000,90710620,50710620
Happy Death Day,5000000,55683845,50683845
Unbroken,65000000,115637895,50637895
Patton,12000000,62500000,50500000
The Sum of All Fears,68000000,118471320,50471320
Mortal Kombat,20000000,70433227,50433227
Men in Black 2,140000000,190418803,50418803
Get Hard,40000000,90411453,50411453
Easy A,8000000,58401464,50401464
Get Smart,80000000,130319208,50319208
George Of The Jungle,55000000,105263257,50263257
Ant-Man,130000000,180202163,50202163
Lethal Weapon,15000000,65192350,50192350
The Princess Diaries 2: Royal Engagement,45000000,95149435,50149435
The Boss Baby,125000000,175003033,50003033
Boyz n the Hood,6500000,56190094,49690094
Hook,70000000,119654823,49654823
Hannah Montana the Movie,30000000,79576189,49576189
The Bridges of Madison County,22000000,71516617,49516617
1408,22500000,71985628,49485628
2001: A Space Odyssey,10500000,59936321,49436321
American Wedding,55000000,104354205,49354205
No Country for Old Men,25000000,74273505,49273505
Couples Retreat,60000000,109205660,49205660
The Best Little Whorehouse in Texas,20500000,69701637,49201637
Snow Dogs,32000000,81150692,49150692
White Chicks,20000000,69148997,49148997
Scream 3,40000000,89138076,49138076
